classification,red,blue,green,black,golden,brown,Cyan,purple,white,Pink,Pink,watermelon,watermelon,tangerine,orange,grapefruit,Banana,Cherry,pitaya,pineapple,Sugar cane,Peach,Chestnut,plum,Loquat,Wax gourd,eggplant,Pepper
1,588,191.835,0,0.1218,0.1427,16.4,0.8396,0.3427,0.3516,1.6576,0.1436,0.9336,15.204,183.3707,21.4811,71.472,252.0723,160.7143,3214.2857,15.9409,6.3214,107822,0.3417,183.4783,101.1731,0.007,166.0992,0.3309
2,634.305,173.46,0,0.046,0.0665,18.4,0.5968,0.1144,0.549,1.2906,0.0958,0.9549,12.3588,0.0063,19.4806,93.8851,365.4561,72.4138,2500,17.2545,4.0345,102738,0.488,204.4706,121.209,0.0039,226.6638,0.127
2,597.555,172.725,0.0001,0.0818,0.0982,20.6,0.7827,0.2331,0.6062,1.2063,0.0927,0.9564,11.8238,0.0184,18.851,71.3338,744.1485,62.069,1071.4286,16.3037,5.3793,101093,0.3099,215.8046,146.0231,0.0274,192.6932,0.2021
2,689.43,163.905,0,0.0449,0.0697,19,0.8719,0.2116,0.3617,1.5845,0.1541,0.9316,15.3858,0.0058,17.9393,38.2225,863.288,240,3000,16.2419,5.04,99119.5,0.2527,222.4209,159.6112,0.0451,209.9746,0.2665
2,611.52,132.3,0.0001,0.2497,0.2783,15.1,0.7395,0.5023,0.4625,1.4154,0.1308,0.9406,8.4043,0.0065,15.9725,82.9503,580.8662,117.3913,4285.7143,15.5428,4.0435,75939,0.2963,198.3333,132.2368,0.0019,208.6125,0.3213
2,710.01,184.485,0.0018,0.0307,0.0526,15.1,0.6642,0.1288,0.5657,1.3097,0.1059,0.9544,17.3466,0.293,21.9382,84.9646,474.0998,234.7826,1304.3478,16.8755,4.6957,123946.5,0.2811,189.5556,111.5106,0.004,200.8455,0.3329
2,660.765,264.6,0.0001,0.0121,0.0207,13.2,0.1964,0.02,0.5249,1.4241,0.129,0.9528,31.6023,0.0151,28.4539,145.6317,216.1431,177.2727,4090.9091,17.6886,5.0455,187313,0.284,213,138.4476,0.0053,210.4626,0.2149
2,647.535,191.835,0.0017,0.0138,0.0263,12.5,0.3412,0.042,0.5182,1.3806,0.1123,0.9489,19.8218,0.2934,24.1217,39.5917,161.2638,322.2222,2307.6923,17.895,5.2222,116384,0.3841,213.2644,136.5,0.0197,207.0788,0.1619
2,649.005,188.16,0,0.0364,0.0506,12.8,0.6747,0.1249,0.5679,1.2745,0.0952,0.9565,14.5104,0.0077,19.451,110.3014,606.7749,44.4444,6818.1818,16.9099,4.2222,107382.5,0.3353,215.5,156.5042,0.0092,214.8533,0.2041
2,688.695,186.69,0.0005,0.0121,0.0262,13.7,0.4628,0.0432,0.5163,1.3853,0.1163,0.9452,19.0028,0.0842,21.8049,83.3282,474.0642,200,0,17.6075,4,117355,0.3961,167.7143,80,0.0028,195.3267,0.2464
2,613.725,156.555,0,0.0434,0.0638,18.9,0.6581,0.127,0.3643,1.6117,0.1446,0.9311,14.1828,0.0049,18.5816,160.9295,484.8157,42.8571,1428.5714,17.0792,3.2857,101336.5,0.2138,222.3721,125.1793,0.0202,200.0345,0.3112
2,618.135,181.545,0.0008,0.0266,0.0537,10.9,0.6329,0.0791,0.5037,1.4331,0.1728,0.9322,14.2862,0.1278,21.0634,98.7573,384.0989,82.7586,4615.3846,16.9887,5.7931,105679.5,0.369,225.7674,156.3419,0.0103,210.7644,0.1857
2,589.47,160.965,0.0019,0.0359,0.0632,12.8,0.7819,0.1986,0.5678,1.2342,0.1139,0.9481,11.7383,0.2579,15.2035,114.9911,287.7458,51.7241,1034.4828,16.4343,5.4828,85231.5,0.2733,150,60.2,0.0008,180.0267,0.3271
2,672.525,152.145,0.0008,0.1266,0.1527,12.8,0.604,0.263,0.5452,1.2977,0.1047,0.9526,13.1555,0.119,19.1243,55.2837,454.5169,350,0,16.5806,4.8333,99787.5,0.309,207.5,149,0.0011,185.5519,0.3496
2,724.71,188.895,0.0011,0.0668,0.0875,17.5,0.8045,0.2634,0.5356,1.3721,0.1241,0.9479,14.1769,0.1752,18.6065,48.1619,160.013,216,1250,16.2092,5.52,121215.5,0.2088,210.2917,140.6661,0.0322,201.7297,0.3369
2,617.4,250.635,0.0001,0.0044,0.014,15.8,0.1333,0.0109,0.4843,1.4871,0.1262,0.9464,30.2316,0.0162,32.9287,112.8155,343.2137,180,2307.6923,18.0132,4.4,168174,0.2857,216.4468,140.7145,0.0287,195.8046,0.3223
2,654.15,167.58,0.0029,0.0291,0.0422,17.8,0.6726,0.1344,0.4573,1.4977,0.1292,0.9402,17.7194,0.4708,23.0233,87.6887,603.6215,285.7143,0,16.8614,4,109827,0.4444,231.5652,138.1985,0.0053,219.5966,0.0931
2,560.805,166.845,0.0001,0.0305,0.0425,12.2,0.6452,0.0939,0.5306,1.3552,0.139,0.939,14.6882,0.0125,22.5675,95.844,171.6235,128.5714,2307.6923,16.9122,4.2857,99790.5,0.2778,188.25,109.76,0.0029,188.115,0.2796
2,610.785,187.425,0.0011,0.0114,0.0332,22.1,0.4671,0.0386,0.6427,1.1316,0.1106,0.9571,14.4052,0.1834,20.2551,138.5059,96.7632,22.2222,4090.9091,17.531,3.7778,109445,0.2663,232.5385,153.0849,0.0048,188.7512,0.2876
2,592.41,197.715,0.0001,0.0101,0.028,16,0.5145,0.0319,0.5191,1.3881,0.1234,0.9454,19.3194,0.0236,27.044,54.5123,226.7648,336,0,17.4051,5.52,127926.5,0.2886,187.6923,99.4091,0.0034,176.0953,0.3276
2,633.57,152.145,0,0.1483,0.1736,13.1,0.8001,0.421,0.4672,1.45,0.1397,0.9388,10.6127,0.0032,19.4964,95.4703,445.5973,236.8421,0,15.7423,5.2105,90614.5,0.2623,192.5,108.1786,0.0026,183.2838,0.403
2,618.135,177.135,0,0.3078,0.3261,18,0.6581,0.6241,0.5595,1.2954,0.1055,0.9528,11.6287,0.0016,20.8173,146.7994,135.2516,26.087,3461.5385,15.18,4.4348,110866,0.3728,207.88,163.593,0.0091,209.6951,0.1946
2,698.25,151.41,0.0014,0.0264,0.0525,12.2,0.5035,0.1056,0.5402,1.3125,0.1339,0.9394,12.6021,0.1633,11.5047,62.4769,65.1538,0,1363.6364,17.4391,4.2581,87596,0.2449,199,146.6489,0.0073,190.059,0.1707
2,640.92,177.135,0.0015,0.0465,0.071,14.3,0.6873,0.1852,0.5598,1.3379,0.1299,0.9436,14.8055,0.2559,19.3911,239.8811,1427.2288,123.5294,0,16.9332,5.8235,115566,0.246,189,70,0.0018,185.6478,0.2796
2,571.095,227.85,0.0002,0.014,0.0295,10.6,0.3845,0.0337,0.524,1.3684,0.121,0.9491,21.3329,0.049,33.0845,34.1587,209.5854,406.4516,2727.2727,17.6737,6,127858,0.2156,211.7692,141.1901,0.0084,177.3115,0.3149
2,571.83,136.71,0.0003,0.1371,0.1699,13.2,0.7497,0.2404,0.4636,1.4644,0.1801,0.9246,10.1079,0.0385,19.9214,88.6921,133.6481,240,1153.8462,16.3363,5.4,76110.5,0.281,195.3125,100.2039,0.0079,192.9989,0.1984
2,593.145,147,0.0001,0.1797,0.206,19.6,0.7325,0.4154,0.4108,1.569,0.1578,0.9305,11.6592,0.0118,20.4644,121.2988,520.1784,114.2857,1363.6364,16.2433,3.7143,95479.5,0.3202,204.5882,117.4773,0.0067,200.3438,0.3126
2,637.98,213.15,0.0007,0.1145,0.1258,12.9,0.7406,0.3233,0.5498,1.3756,0.1158,0.9482,18.4327,0.1364,25.9689,140.3578,578,143.4783,1111.1111,16.5194,4.8261,135228,0.3509,220.0667,134.4974,0.0071,211.7897,0.228
2,718.095,192.57,0.0002,0.0292,0.0465,13.9,0.5908,0.0852,0.531,1.4203,0.1492,0.9389,17.8396,0.0334,19.8964,50.0518,247.5551,204,2500,17.0225,5.16,129232.5,0.4295,211.3023,151.4056,0.0129,216.0218,0.1266
2,689.43,205.065,0.0005,0.0463,0.0575,12.8,0.757,0.1553,0.5121,1.4325,0.1237,0.9426,19.346,0.0812,24.3137,75.3783,566.0442,313.6364,1071.4286,16.4792,5.5909,129425.5,0.311,204.5238,114.9476,0.0052,188.9581,0.2682
2,682.815,230.055,0.0003,0.0127,0.0273,13.9,0.3122,0.0274,0.5664,1.2942,0.1132,0.95,20.3475,0.0483,22.2219,78.2847,598.9305,116.129,5454.5455,17.6137,6.7742,127975,0.3145,191.1429,85.5161,0.0034,179.3837,0.3704
2,725.445,219.03,0,0.0949,0.1162,15.7,0.829,0.3372,0.3902,1.7468,0.1519,0.9288,19.6325,0.0041,21.8386,126.7949,800.1222,135,6818.1818,16.1569,5.55,161537.5,0.3176,208.0875,139.864,0.0155,189.6074,0.3307
2,655.62,137.445,0.0001,0.0341,0.0608,14.5,0.6292,0.1017,0.5136,1.3743,0.113,0.9474,13.1775,0.0153,15.3943,163.7136,229.7665,33.3333,2608.6957,17.1934,4,99337,0.2235,203.1364,115.883,0.0095,195.9613,0.2976
2,608.58,183.015,0.0001,0.0076,0.0311,17.3,0.4222,0.0279,0.6209,1.1644,0.1123,0.9561,17.2067,0.0131,20.3341,218.9584,372.285,83.3333,1304.3478,17.3478,4.8333,116499,0.3059,220.2578,175.9012,0.0381,207.2874,0.3653
2,579.915,153.615,0.0002,0.0166,0.0388,14,0.5746,0.0814,0.6365,1.0628,0.0791,0.9653,10.9265,0.0207,23.2802,28.0256,1433.5906,496.1538,3214.2857,16.8676,6.5769,81487,0.3563,203.4231,128.623,0.0078,204.9126,0.1515
2,673.26,163.17,0.0002,0.0199,0.0474,16.2,0.5892,0.0759,0.3434,1.6607,0.1508,0.9282,15.8715,0.0282,16.9777,134.605,921.9834,0,6521.7391,17.2879,4,105564,0.2849,193.2308,127.4444,0.0052,212.3155,0.2528
2,702.66,215.355,0.0001,0.0419,0.0572,15.1,0.707,0.1396,0.3887,1.6569,0.1457,0.9343,18.888,0.0171,21.9382,41.3618,544.6983,227.5862,0,16.6972,4.9655,122177.5,0.2626,167.8667,94.5255,0.0059,190.4698,0.2365
2,576.24,223.44,0.0003,0.014,0.0214,10.9,0.398,0.036,0.4773,1.5011,0.1431,0.9345,22.4033,0.0642,32.2219,82.0915,14.7031,244.4444,1935.4839,17.3747,4.8889,132053.5,0.2733,196.7143,91.915,0.0136,193.0919,0.2159
2,626.22,175.665,0.0023,0.0639,0.0917,10.6,0.7337,0.2454,0.4212,1.5581,0.1529,0.932,12.6621,0.3497,19.7019,112.0751,649.4725,34.6154,1666.6667,16.5558,4.0385,101502.5,0.3511,228.5556,115.6333,0.0066,184.9939,0.211
2,660.765,225.645,0,0.0098,0.0239,11.6,0.2685,0.0255,0.4647,1.5055,0.141,0.9369,23.6501,0.003,28.3603,1.2979,1101.5396,425.8065,6250,17.6469,5.8065,134799,0.236,219.7843,118.853,0.0156,203.9468,0.1803
